iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es
NPL,Nepal,232.096,1625.845,0.136,0.002,0.633,29651054,54.83262078980396,Asia,South Asia,Nepal
NRU,Nauru,5.074,5.074,0,0,5.13,11968,423.9639037433155,Oceania,East Asia & Pacific,Nauru
NZL,New Zealand,2012.347,5134.638,0.293,0.005,6.229,5213942,984.7900110894981,Oceania,East Asia & Pacific,Nueva Zelanda
OMN,Oman,1673.353,1678.531,0.117,0.002,15.651,5281542,317.81078329018305,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Omán
PAK,Pakistan,5739.839,7749.273,0.711,0.012,0.716,251269160,30.840525753339566,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Pakistán
PAN,Panama,360.476,2478.871,0.075,0.001,2.805,4515576,548.9600883696786,Americas,Latin America & Caribbean,Panamá
PER,Peru,2161.823,7986.045,0.322,0.005,2.053,34217850,233.38827541765482,Americas,Latin America & Caribbean,Perú
PHL,Philippines,3983.639,15282.421,0.679,0.011,1.51,115843663,131.92280530701106,Asia,East Asia & Pacific,Filipinas
PLW,Palau,11.399,11.399,0,0,12.76,17719,643.3207291607879,Oceania,East Asia & Pacific,Palaos
PNG,Papua New Guinea,209.709,1764.311,0.091,0.002,0.789,10576509,166.81411607554062,Oceania,East Asia & Pacific,Papúa Nueva Guinea
POL,Poland,29043.918,29419.521,1.059,0.018,7.08,38539209,763.3659787879923,Europe,Europe & Central Asia,Polonia
PRK,North Korea,5492.661,7021.745,0.237,0.004,2.36,26498832,264.98318869299595,Asia,East Asia & Pacific,Corea del Norte
PRT,Portugal,2767.615,3196.389,0.121,0.002,3.409,10425291,306.5994992369997,Europe,Europe & Central Asia,Portugal
PRY,Paraguay,208.53,4042.089,0.179,0.003,1.145,6929152,583.3454079229319,Americas,Latin America & Caribbean,Paraguay
PSE,Palestine,77.991,76.708,0,0,0.87,5495447,13.958464161332099,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Palestina
PYF,French Polynesia,35.02,NA,0.001,0,3.275,281816,NA,Oceania,East Asia & Pacific,Polinesia Francesa
QAT,Qatar,2590.88,2592.199,0.127,0.002,41.271,3048429,850.3393059179007,Asia,"Middle East, North Africa, Afghanistan & Pakistan",Catar
ROU,Romania,8861.765,11851.871,0.373,0.006,3.605,19015096,623.2874659165539,Europe,Europe & Central Asia,Rumanía
