folioviv,foliohog,id_pobla,parentesco,sexo,edad,afrod,hablaesp,hablaind,lenguaind,hablaing,hablaotro,etnia,asiste_esc,no_asisb,nivelaprob,gradoaprob,alfabetism,edo_conyug,inf_selec,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_hog
010025905,1,01,1,1,54,2,1,2,,2,2,2,2,,06,3,,8,2,01001,01,001,0002,00006,427
010025905,1,02,2,2,51,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00006,427
010025905,1,03,3,1,23,2,1,2,,1,2,2,2,09,08,4,,9,2,01001,01,001,0002,00006,427
010025905,1,04,3,2,20,2,2,2,,2,2,2,2,14,03,3,,9,2,01001,01,001,0002,00006,427
010027502,1,01,1,1,38,2,1,2,,2,2,1,2,,03,3,,8,1,01001,01,001,0001,00002,744
010027502,1,02,2,2,37,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0001,00002,744
010027502,1,03,3,2,20,2,1,2,,2,2,2,1,,08,1,,9,2,01001,01,001,0001,00002,744
010027502,1,04,3,2,16,2,1,2,,2,2,2,1,,03,3,,9,2,01001,01,001,0001,00002,744
010027502,1,05,3,2,10,2,1,2,,2,2,2,1,,02,4,1,,2,01001,01,001,0001,00002,744
010027503,1,01,1,2,44,2,1,2,,2,2,2,2,,06,1,,2,1,01001,01,001,0001,00002,744
010027503,1,02,3,2,10,2,1,2,,2,2,2,1,,02,4,1,,2,01001,01,001,0001,00002,744
010027505,1,01,1,1,35,2,1,2,,2,2,2,2,,03,3,,1,2,01001,01,001,0001,00002,744
010027505,1,02,2,2,33,2,1,2,,2,2,2,2,,03,3,,1,1,01001,01,001,0001,00002,744
010029601,1,01,1,1,43,2,1,2,,2,2,1,2,,03,3,,1,1,01001,01,001,0001,00003,410
010029601,1,02,2,2,42,2,1,2,,2,2,1,2,,03,3,,1,2,01001,01,001,0001,00003,410
010029601,1,03,3,1,9,2,1,2,,2,2,1,1,,02,2,1,,2,01001,01,001,0001,00003,410
010029602,1,01,1,2,45,2,1,2,,2,2,2,2,,08,3,,9,1,01001,01,001,0001,00003,410
010029603,1,01,1,2,66,2,1,2,,2,2,2,2,,02,6,1,4,2,01001,01,001,0001,00003,410
010029603,1,02,3,1,22,2,1,2,,2,2,2,2,04,03,3,,9,1,01001,01,001,0001,00003,410
010029603,1,03,3,1,24,2,1,2,,2,2,2,2,05,03,3,,9,2,01001,01,001,0001,00003,410
010029604,1,01,1,2,38,2,1,2,,2,2,2,2,,03,3,,6,1,01001,01,001,0001,00003,410
010029604,1,02,3,1,16,2,1,2,,2,2,2,2,10,03,3,,9,2,01001,01,001,0001,00003,410
010029605,1,01,1,2,38,2,1,2,,2,2,2,2,,03,3,,9,1,01001,01,001,0001,00003,410
010029605,1,02,3,1,16,2,1,2,,2,2,2,2,05,03,3,,9,2,01001,01,001,0001,00003,410
010029605,1,03,3,1,15,2,1,2,,2,2,2,2,05,03,3,,9,2,01001,01,001,0001,00003,410
010030201,1,01,1,2,57,2,1,2,,2,2,2,2,,03,3,,2,1,01001,01,001,0001,00004,440
010030201,1,02,3,1,19,2,1,2,,2,2,2,2,04,06,3,,9,2,01001,01,001,0001,00004,440
010030202,1,01,1,2,39,2,1,2,,2,2,2,2,,03,3,,2,1,01001,01,001,0001,00004,440
010030202,1,02,6,2,65,2,1,2,,2,2,2,2,,02,6,1,3,2,01001,01,001,0001,00004,440
010030202,1,03,3,2,16,2,1,2,,2,2,2,1,,03,3,,9,2,01001,01,001,0001,00004,440
010030203,1,01,1,1,45,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0001,00004,440
010030203,1,02,2,2,44,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0001,00004,440
010030203,1,03,3,2,19,2,1,2,,2,2,2,2,05,06,1,,1,1,01001,01,001,0001,00004,440
010030203,1,04,4,2,11,2,1,2,,1,2,2,1,,02,4,1,,2,01001,01,001,0001,00004,440
010030204,1,01,1,2,37,2,1,2,,2,2,2,1,,08,5,,3,1,01001,01,001,0001,00004,440
010030204,1,02,3,1,7,2,1,2,,2,2,2,1,,01,3,1,,2,01001,01,001,0001,00004,440
010030205,1,01,1,1,51,2,1,2,,2,2,2,2,,06,3,,1,2,01001,01,001,0001,00004,440
010030205,1,02,2,2,48,2,1,2,,2,2,2,2,,02,6,1,1,1,01001,01,001,0001,00004,440
010031401,1,01,1,1,59,2,1,2,,1,1,2,2,,06,3,,8,2,01001,01,001,0001,00005,454
010031401,1,02,2,2,59,2,1,2,,2,2,2,2,,06,3,,8,2,01001,01,001,0001,00005,454
010031401,1,03,3,1,31,2,1,2,,1,1,2,2,09,08,4,,9,1,01001,01,001,0001,00005,454
010031404,1,01,1,2,42,2,1,2,,2,2,2,2,,02,6,1,8,1,01001,01,001,0001,00005,454
010031404,1,02,2,1,46,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0001,00005,454
010031404,1,03,3,1,24,2,1,2,,2,2,2,2,04,06,3,,9,2,01001,01,001,0001,00005,454
010031404,1,04,3,2,17,2,1,2,,2,2,2,1,,06,1,,9,2,01001,01,001,0001,00005,454
010031404,1,05,3,1,9,2,1,2,,2,2,2,1,,02,2,1,,2,01001,01,001,0001,00005,454
010031404,1,06,3,2,7,2,1,2,,2,2,2,1,,01,2,1,,2,01001,01,001,0001,00005,454
010031404,1,07,3,1,5,2,1,2,,2,2,2,2,00,00,,2,,2,01001,01,001,0001,00005,454
010031405,1,01,1,2,45,2,2,2,,2,2,2,2,,02,6,1,5,2,01001,01,001,0001,00005,454
010031405,1,02,3,2,27,2,1,2,,2,2,2,2,05,03,1,,9,2,01001,01,001,0001,00005,454
010031405,1,03,3,1,23,2,1,2,,2,2,2,2,04,02,6,1,1,2,01001,01,001,0001,00005,454
010031405,1,04,3,2,24,2,1,2,,2,2,2,2,04,02,6,1,1,2,01001,01,001,0001,00005,454
010031405,1,05,5,2,21,2,1,2,,2,2,2,2,04,02,6,1,1,2,01001,01,001,0001,00005,454
010031405,1,06,5,1,28,2,1,2,,2,2,2,2,04,03,1,,1,1,01001,01,001,0001,00005,454
010031405,1,07,3,2,22,2,1,2,,2,2,2,2,04,02,6,1,1,2,01001,01,001,0001,00005,454
010031405,1,08,4,1,9,2,1,2,,2,2,2,2,05,02,3,2,,2,01001,01,001,0001,00005,454
010031405,1,09,4,1,5,2,1,2,,2,2,2,1,,01,1,2,,2,01001,01,001,0001,00005,454
010031405,1,10,4,2,5,2,1,2,,2,2,2,1,,01,1,2,,2,01001,01,001,0001,00005,454
010031405,1,11,4,1,2,2,,,,,,,,,,,,,2,01001,01,001,0001,00005,454
010031405,1,12,4,1,1,2,,,,,,,,,,,,,2,01001,01,001,0001,00005,454
010031405,1,13,4,1,3,2,1,2,,2,2,2,2,00,00,,,,2,01001,01,001,0001,00005,454
010031405,1,14,4,1,3,2,1,2,,2,2,2,2,00,00,,,,2,01001,01,001,0001,00005,454
010031501,1,01,1,1,42,2,1,2,,2,2,2,2,,06,3,,8,1,01001,01,001,0001,00006,466
010031501,1,02,2,2,43,2,1,2,,2,2,2,2,,06,1,,8,2,01001,01,001,0001,00006,466
010031501,1,03,3,1,7,2,1,2,,2,2,2,1,,01,3,1,,2,01001,01,001,0001,00006,466
010031502,1,01,1,2,39,2,1,2,,2,2,2,2,,03,3,,3,1,01001,01,001,0001,00006,466
010031502,1,02,3,1,16,2,1,2,,2,2,2,2,05,03,3,,9,2,01001,01,001,0001,00006,466
010031502,1,03,3,2,12,2,1,2,,2,2,2,1,,02,5,1,9,2,01001,01,001,0001,00006,466
010031503,1,01,1,1,38,2,1,2,,2,2,2,2,,06,3,,6,1,01001,01,001,0001,00006,466
010031503,1,02,2,2,38,2,1,2,,2,2,2,2,,03,3,,6,2,01001,01,001,0001,00006,466
010031503,1,03,3,1,15,2,1,2,,2,2,2,1,,03,1,,9,2,01001,01,001,0001,00006,466
010031503,1,04,3,2,12,2,1,2,,2,2,2,1,,02,6,1,9,2,01001,01,001,0001,00006,466
010031503,1,05,3,2,8,2,1,2,,2,2,2,1,,02,2,1,,2,01001,01,001,0001,00006,466
010031504,1,01,1,1,51,2,1,2,,2,2,2,2,,02,6,1,3,1,01001,01,001,0001,00006,466
010031504,1,02,3,2,13,2,1,2,,2,2,2,1,,03,1,,9,2,01001,01,001,0001,00006,466
010031504,1,03,3,1,11,2,1,2,,2,2,2,1,,02,5,1,,2,01001,01,001,0001,00006,466
010031504,1,04,3,1,9,2,1,2,,2,2,2,1,,02,2,1,,2,01001,01,001,0001,00006,466
010031505,1,01,1,1,28,2,1,2,,2,2,2,2,04,02,6,1,1,1,01001,01,001,0001,00006,466
010031505,1,02,2,2,21,2,1,2,,2,2,2,2,06,03,2,,1,2,01001,01,001,0001,00006,466
010031505,1,03,7,2,6,2,1,2,,2,2,2,1,,01,1,2,,2,01001,01,001,0001,00006,466
010031601,1,01,1,1,46,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00007,411
010031601,1,02,2,2,46,2,1,2,,2,2,2,2,,02,6,1,8,1,01001,01,001,0002,00007,411
010031601,1,03,3,2,22,2,1,2,,2,2,2,1,,08,1,,2,2,01001,01,001,0002,00007,411
010031601,1,04,4,2,5,2,1,2,,2,2,2,1,,01,1,2,,2,01001,01,001,0002,00007,411
010031602,1,01,1,1,46,2,1,2,,2,2,2,2,,06,3,,3,1,01001,01,001,0002,00007,411
010031603,1,01,1,1,61,2,1,2,,2,2,2,2,,02,6,1,8,2,01001,01,001,0002,00007,411
010031603,1,02,2,2,59,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00007,411
010031603,1,03,3,1,35,2,1,2,,2,2,2,2,,03,3,,5,2,01001,01,001,0002,00007,411
010031604,1,01,1,1,52,2,1,2,,2,2,2,2,,02,2,1,6,1,01001,01,001,0002,00007,411
010031604,1,02,2,2,53,2,1,2,,2,2,2,2,,00,,2,6,2,01001,01,001,0002,00007,411
010031604,1,03,3,2,21,2,1,2,,2,2,2,2,05,02,6,1,2,2,01001,01,001,0002,00007,411
010031604,1,04,3,1,22,2,1,2,,2,2,2,2,05,02,6,1,1,2,01001,01,001,0002,00007,411
