folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
080462003,1,02,70010005,1977,06,6,6112,2,,70010005,1981,06,6,1003,2,,3,0,02,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,08032,08,032,0112,00002,2285
080462004,1,01,70008032,1955,09,3,7131,2,,70008032,1958,09,3,1003,2,,3,1,02,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,9,9,2,2,08032,08,032,0112,00002,1142
080462005,1,02,70008029,1984,14,4,1315,1,,70008032,9999,09,3,1003,2,2018,2,0,02,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,08032,08,032,0112,00002,2285
080463401,1,01,70010009,1983,09,3,8341,2,,70008019,1984,09,3,1003,2,,3,0,02,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,08032,08,032,0113,00003,3038
080463402,1,01,70009005,1974,09,3,2639,2,,70016069,1974,06,6,1003,2,,2,0,02,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0113,00003,1519
080463403,1,01,70008044,1950,99,9,6111,2,,70010017,1948,06,3,1003,2,,6,2,02,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,2,2,2,2,2,08032,08,032,0113,00003,1519
080465701,1,01,70014116,1930,06,3,7111,2,2010,70008060,1942,06,6,1003,2,2025,9,5,02,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0112,00003,1270
080465702,1,02,70008032,9999,00,0,6111,2,2021,70008032,9999,06,6,1003,2,2002,8,1,02,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,2,2,2,2,2,08032,08,032,0112,00003,3809
080465703,1,01,70008032,9999,06,3,6121,2,,70008032,9999,06,3,1003,2,,5,0,02,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,08032,08,032,0112,00003,2539
080465704,1,02,70008037,1949,12,3,7111,2,2019,70008048,1954,00,0,9611,2,,5,4,03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,08032,08,032,0112,00003,3809
