"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"BHS","Bahamas",0.473922428220572,0.474358837516472,0.477807637240046,0.481587422508956,0.48320895633039,0.48562706464787,0.489453040742561,0.494601707756819,0.493012927237223,0.487732154903823,0.49875781344292,0.492191766773887,0.493995672939982,0.494854610678328,0.48435664754696,0.479239141352411,0.478960416535375,0.47962495040809,0.464414302410937,0.451948057899421,0.445132107989513,0.446047501212579,0.437534948634233,0.438128452820304,0.442916534287277,0.436426122688201,0.437282140135446,0.417715868685455,0.421636937458102,0.421700292817975
"BHR","Bahrain",0.437868659185896,0.437859878271877,0.444044833782934,0.450484073172385,0.454149771217973,0.458129082532658,0.471417683514892,0.483023095285476,0.477748136614426,0.473905066557612,0.464765758514447,0.46008751127357,0.47060891826527,0.47645695267478,0.481823677478697,0.472625630246465,0.479190048944364,0.479942946256403,0.473641161195962,0.467889219736467,0.476097946780175,0.468220673029404,0.466197238046491,0.467258398966988,0.470086285136988,0.495005470334899,0.504730221196175,0.452102297755944,0.45983785481591,0.46553735656046
"BGD","Bangladesh",0.292963642882979,0.292807241326073,0.29345837091977,0.293989546911916,0.288413133823087,0.282834079742213,0.277656211562127,0.271869842627287,0.271974445882425,0.271006838522064,0.266344643083432,0.261183278039608,0.263841562962729,0.263367101095594,0.263061267659304,0.257484110312261,0.262600721417725,0.244138374579991,0.235075216744513,0.251414169534073,0.251376997401917,0.255104126215291,0.256264358021184,0.260777200214946,0.261667287696448,0.265874944377826,0.265428916085908,0.308553503366208,0.311794365573955,0.284277313801118
"BRB","Barbados",0.481023242649748,0.48151059031005,0.485445681718357,0.48924763692672,0.49256844409428,0.500546155417638,0.501662155909763,0.507832162513428,0.512199032961375,0.508429583420027,0.525575283450491,0.522650861550901,0.53181715928174,0.534806533862844,0.532159374831788,0.528213576643147,0.534300150987651,0.53692584608474,0.533739076900665,0.513023184209931,0.516359102798244,0.513485016560022,0.516514163228459,0.515459773785239,0.52775856919927,0.540297481757426,0.594693586730287,0.560714564493047,0.562391297443164,0.569385011264296
"BLR","Belarus",0.34921160996963,0.355593952199962,0.360300533678027,0.370952679310719,0.369697030147753,0.36624507656612,0.36658404879643,0.365711626493173,0.383069937425954,0.389023721753957,0.393646983599866,0.370872367465282,0.383497601329315,0.401963832363419,0.440788301971262,0.458114829545091,0.469910216667447,0.498025615479228,0.493424077425139,0.477578682015298,0.478174747470688,0.482769244700221,0.504472396942169,0.505230733753078,0.51098532359912,0.486882357902107,0.480848973799166,0.43868633516182,0.435881792621938,0.433746384332507
"BEL","Belgium",0.593270087191007,0.596619113062058,0.593905916419541,0.584316824423815,0.585934011804655,0.593494464895183,0.597264865382708,0.605474072260675,0.599330521693869,0.595296305518487,0.606085505808723,0.602436369226154,0.603151721721985,0.604232642131098,0.610211414694594,0.606232687640549,0.605724341672192,0.609285080642388,0.607662837014088,0.609077097089179,0.613739712270842,0.6172204948988,0.610743569186466,0.604248031527694,0.603313410165334,0.610057606535327,0.611347116714987,0.61291946534188,0.606430402224486,0.604891139107138
"BLZ","Belize",0.390702855155611,0.398961156493154,0.392640052375927,0.392662388472812,0.392936787094799,0.394345598571157,0.394757353773051,0.395821108371387,0.398120113370994,0.387710374099351,0.392253019792723,0.384098963105746,0.380596875886978,0.379479557787102,0.376207276462563,0.370402038573727,0.35826316343701,0.355255808276009,0.350400942975576,0.335783147126399,0.336862889764505,0.339239869763692,0.340021670317896,0.336845364611577,0.339215096728876,0.346940939108419,0.34251052100449,0.361849787159703,0.363064697208232,0.366118564582596
"BEN","Benin",0.35343379762367,0.353455028214565,0.352030350463159,0.350527430083058,0.347692817552003,0.344929734181363,0.342185517716517,0.339516686721793,0.337926969298288,0.338258464392874,0.336415969263458,0.334415675394599,0.331994830965964,0.321446177790346,0.305640861917515,0.302378049357208,0.303163456537219,0.295995798136009,0.300570695497618,0.298328884016383,0.315101381659432,0.320364236143516,0.332950598927311,0.340207777432916,0.333100208104515,0.339198886841748,0.337075344712121,0.372061246440447,0.37667304916432,0.372152215670063
"BTN","Bhutan",0.407773575567939,0.407790351883729,0.407163864165825,0.406607551886517,0.404489449535604,0.402617242317826,0.404595038262547,0.406619313506394,0.427386848297631,0.415584079670329,0.434712865883118,0.415307080482994,0.432028036812017,0.439234355141614,0.429480470018927,0.424749043334885,0.422192240168406,0.421343305291818,0.421759514554307,0.438391400793235,0.446125941512133,0.454335542088505,0.46487810185432,0.467958270014017,0.470101108910779,0.464912888172273,0.462840215411259,0.409101926383972,0.410615340250298,0.414158013109384
"BOL","Bolivia, Plurinational State of",0.335400462264103,0.335591558231295,0.339729169058681,0.341017255154975,0.333829387210938,0.32533820760366,0.327175625992128,0.3217465945319,0.321267538410634,0.333111338931214,0.310689249023171,0.306899620479241,0.304245165440277,0.297444234692525,0.298246207578859,0.306095863874231,0.308286760467536,0.296101373550694,0.295584327673424,0.286640696354436,0.283535527533697,0.279573141862894,0.283772338096862,0.282971353737174,0.273652829050492,0.281223971515899,0.282629152863421,0.318845952512894,0.318101947705462,0.311923640783655
